TEST,ANSWER,TIME
local_tests/generated\132.txt,6,0.11433553695678711
local_tests/generated\133.txt,17,0.14799785614013672
local_tests/generated\134.txt,-1,0.1159820556640625
local_tests/generated\135.txt,20,0.13870882987976074
local_tests/generated\136.txt,5,0.12799692153930664
local_tests/generated\137.txt,11,0.11403632164001465
local_tests/generated\138.txt,13,0.123992919921875
local_tests/generated\139.txt,8,0.11838507652282715
local_tests/generated\140.txt,5,0.12400197982788086
local_tests/generated\141.txt,14,0.11156463623046875
local_tests/generated\142.txt,11,0.12299633026123047
local_tests/generated\143.txt,-1,0.11899733543395996
local_tests/generated\144.txt,-1,0.13399219512939453
local_tests/generated\145.txt,-1,0.15698981285095215
local_tests/generated\146.txt,4,0.15195775032043457
local_tests/generated\147.txt,-1,0.1299879550933838
local_tests/generated\148.txt,14,0.13383722305297852
local_tests/generated\149.txt,4,0.13737988471984863
local_tests/generated\150.txt,3,0.10399103164672852
local_tests/generated\151.txt,13,0.13742661476135254
local_tests/generated\152.txt,8,0.10799503326416016
local_tests/generated\153.txt,12,0.12227034568786621
local_tests/generated\154.txt,11,0.12500238418579102
local_tests/generated\155.txt,9,0.11223649978637695
local_tests/generated\156.txt,11,0.11100125312805176
local_tests/generated\157.txt,12,0.1314105987548828
local_tests/generated\158.txt,13,0.14170193672180176
local_tests/generated\159.txt,5,0.11800217628479004
local_tests/generated\160.txt,10,0.12799358367919922
local_tests/generated\161.txt,7,0.15499663352966309
local_tests/generated\162.txt,7,0.14388227462768555
local_tests/generated\163.txt,12,0.13591504096984863
local_tests/generated\164.txt,-1,0.11055850982666016
local_tests/generated\165.txt,12,0.1282811164855957
local_tests/generated\166.txt,7,0.1184382438659668
local_tests/generated\167.txt,4,0.11867499351501465
local_tests/generated\168.txt,10,0.09514784812927246
local_tests/generated\169.txt,-1,0.10728764533996582
local_tests/generated\170.txt,5,0.14099359512329102
local_tests/generated\171.txt,9,0.14023685455322266
local_tests/generated\172.txt,8,0.11098551750183105
local_tests/generated\173.txt,9,0.1122431755065918
local_tests/generated\174.txt,-1,0.1309947967529297
local_tests/generated\175.txt,6,0.10437846183776855
local_tests/generated\176.txt,12,0.12699484825134277
local_tests/generated\177.txt,12,0.11499357223510742
local_tests/generated\178.txt,8,0.1270008087158203
local_tests/generated\179.txt,9,0.12690234184265137
local_tests/generated\180.txt,2,0.11798405647277832
local_tests/generated\181.txt,4,0.12235331535339355
local_tests/generated\182.txt,8,0.11162018775939941
local_tests/generated\183.txt,3,0.10978126525878906
local_tests/generated\184.txt,13,0.14696264266967773
local_tests/generated\185.txt,2,0.11463117599487305
local_tests/generated\186.txt,9,0.12665820121765137
local_tests/generated\187.txt,3,0.12210345268249512
local_tests/generated\188.txt,11,0.12046289443969727
local_tests/generated\189.txt,-1,0.11299538612365723
local_tests/generated\190.txt,9,0.10920333862304688
local_tests/generated\191.txt,14,0.11701035499572754
local_tests/generated\192.txt,6,0.12093138694763184
local_tests/generated\193.txt,2,0.11849188804626465
local_tests/generated\194.txt,-1,0.11688685417175293
local_tests/generated\195.txt,11,0.12817120552062988
local_tests/generated\196.txt,9,0.11378026008605957
