TEST,ANSWER,TIME
local_tests/generated\132.txt,11,0.14699792861938477
local_tests/generated\133.txt,-1,0.0796966552734375
local_tests/generated\134.txt,12,0.11899971961975098
local_tests/generated\135.txt,13,0.16264104843139648
local_tests/generated\136.txt,3,0.13668155670166016
local_tests/generated\137.txt,12,0.10900115966796875
local_tests/generated\138.txt,6,0.1518840789794922
local_tests/generated\139.txt,13,0.15159273147583008
local_tests/generated\140.txt,7,0.18967342376708984
local_tests/generated\141.txt,15,0.16066408157348633
local_tests/generated\142.txt,13,0.17762327194213867
local_tests/generated\143.txt,10,0.17000389099121094
local_tests/generated\144.txt,10,0.19300127029418945
local_tests/generated\145.txt,4,0.19687938690185547
local_tests/generated\146.txt,15,0.1416184902191162
local_tests/generated\147.txt,5,0.1490166187286377
local_tests/generated\148.txt,15,0.17346477508544922
local_tests/generated\149.txt,9,0.15162396430969238
local_tests/generated\150.txt,14,0.12599897384643555
local_tests/generated\151.txt,7,0.12900829315185547
local_tests/generated\152.txt,10,0.13558721542358398
local_tests/generated\153.txt,8,0.11899828910827637
local_tests/generated\154.txt,2,0.12169051170349121
local_tests/generated\155.txt,8,0.09600043296813965
local_tests/generated\156.txt,6,0.16692900657653809
local_tests/generated\157.txt,1,0.07299590110778809
local_tests/generated\158.txt,13,0.1475675106048584
local_tests/generated\159.txt,7,0.15359020233154297
local_tests/generated\160.txt,10,0.17501354217529297
local_tests/generated\161.txt,4,0.14400076866149902
local_tests/generated\162.txt,-1,0.07600212097167969
local_tests/generated\163.txt,1,0.1430211067199707
local_tests/generated\164.txt,7,0.15066027641296387
local_tests/generated\165.txt,8,0.17181921005249023
local_tests/generated\166.txt,15,0.1586141586303711
local_tests/generated\167.txt,14,0.13607192039489746
local_tests/generated\168.txt,11,0.12977027893066406
local_tests/generated\169.txt,6,0.17693185806274414
local_tests/generated\170.txt,5,0.16361784934997559
local_tests/generated\171.txt,3,0.11974620819091797
local_tests/generated\172.txt,-1,0.07599973678588867
local_tests/generated\173.txt,7,0.1431589126586914
local_tests/generated\174.txt,-1,0.12200069427490234
local_tests/generated\175.txt,6,0.19247937202453613
local_tests/generated\176.txt,6,0.1535041332244873
local_tests/generated\177.txt,1,0.18784046173095703
local_tests/generated\178.txt,-1,0.06631708145141602
local_tests/generated\179.txt,6,0.1756758689880371
local_tests/generated\180.txt,8,0.20013976097106934
local_tests/generated\181.txt,18,0.13962292671203613
local_tests/generated\182.txt,12,0.15663957595825195
local_tests/generated\183.txt,11,0.1390082836151123
local_tests/generated\184.txt,7,0.16463351249694824
local_tests/generated\185.txt,5,0.13760113716125488
local_tests/generated\186.txt,8,0.18801641464233398
local_tests/generated\187.txt,14,0.10578393936157227
local_tests/generated\188.txt,11,0.1552727222442627
local_tests/generated\189.txt,3,0.17200636863708496
local_tests/generated\190.txt,4,0.1926124095916748
local_tests/generated\191.txt,11,0.15024280548095703
